Location,Scenario,Smolt type,Deploy period,Period,X,W,Employ bin,Harvest bin,Deploy bin,Deploy type bin,Y
0,0,0,10,10,100000.0,0.0,1.0,0.0,1.0,1.0,100000.0
0,0,0,10,11,169037.52494491686,0.0,1.0,0.0,-0.0,0.0,0.0
0,0,0,10,12,250663.85757103778,0.0,1.0,0.0,-0.0,0.0,0.0
0,0,0,10,13,366099.3629353484,0.0,1.0,0.0,-0.0,0.0,0.0
0,0,0,10,14,479481.88634231704,0.0,1.0,0.0,-0.0,0.0,0.0
0,0,0,10,15,581200.0744059301,0.0,1.0,0.0,-0.0,0.0,0.0
0,0,0,10,16,639819.6970576126,0.0,1.0,0.0,-0.0,0.0,0.0
0,0,0,10,17,686894.9387536681,0.0,1.0,0.0,-0.0,0.0,0.0
0,0,0,10,18,753256.6626361627,0.0,1.0,0.0,-0.0,0.0,0.0
0,0,0,10,19,842042.7739208268,0.0,1.0,0.0,-0.0,0.0,0.0
0,0,0,10,20,1017035.4848090213,0.0,1.0,0.0,-0.0,0.0,0.0
0,0,0,10,21,1224599.5494933086,0.0,1.0,0.0,-0.0,0.0,0.0
0,0,0,10,22,1516282.1890003562,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,10,23,1874995.1737113576,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,10,24,2220764.560548264,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,10,25,2504096.060743482,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,10,26,2740573.75458845,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,10,27,2938156.6211781413,389004.81171652395,1.0,1.0,-0.0,0.0,0.0
0,0,0,10,28,2713695.7344310684,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,10,29,2840636.2138932543,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,10,30,3003271.051205947,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,10,31,3242387.8255918617,519689.8607908911,1.0,1.0,-0.0,0.0,0.0
0,0,0,10,32,3072794.0184597005,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,10,33,3466603.074175191,4000000.0,1.0,1.0,-0.0,0.0,0.0
0,0,0,44,44,93862.82523145038,0.0,1.0,-0.0,1.0,1.0,93862.82523145038
0,0,0,44,45,143121.95441041334,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,46,231281.7909921972,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,47,412421.59229248733,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,48,620300.270662371,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,49,815631.045839491,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,50,929466.7327077171,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,51,1015821.9962061043,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,52,1094734.9248243498,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,53,1157441.1208604393,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,54,1263164.312283806,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,55,1398594.2164340827,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,56,1598809.7729396997,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,57,1880603.4399646937,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,58,2289982.9905293463,0.0,1.0,-0.0,-0.0,0.0,0.0
0,0,0,44,59,2746061.4556779684,2680296.114591187,1.0,1.0,0.0,0.0,0.0
0,0,0,44,60,612677.4793380327,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,10,10,100000.0,0.0,1.0,0.0,1.0,1.0,100000.0
0,1,0,10,11,178831.44113734015,0.0,1.0,0.0,-0.0,0.0,0.0
0,1,0,10,12,274830.4992946137,0.0,1.0,0.0,-0.0,0.0,0.0
0,1,0,10,13,413556.2973657356,0.0,1.0,0.0,-0.0,0.0,0.0
0,1,0,10,14,551997.0656411543,0.0,1.0,0.0,-0.0,0.0,0.0
0,1,0,10,15,677495.0822047553,0.0,1.0,0.0,-0.0,0.0,0.0
0,1,0,10,16,750296.1393371043,0.0,1.0,0.0,-0.0,0.0,0.0
0,1,0,10,17,808981.7006396399,0.0,1.0,0.0,-0.0,0.0,0.0
0,1,0,10,18,891947.3377013903,0.0,1.0,0.0,-0.0,0.0,0.0
0,1,0,10,19,1003356.4471935761,0.0,1.0,0.0,-0.0,0.0,0.0
0,1,0,10,20,1224061.5576716887,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,10,21,1487519.1044598452,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,10,22,1860084.7953042246,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,10,23,2321155.376921898,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,10,24,2767953.973854007,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,10,25,3135505.690402908,380867.919190492,1.0,1.0,-0.0,0.0,0.0
0,1,0,10,26,3062270.4534959663,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,10,27,3291365.9764128355,250000.0,1.0,1.0,-0.0,0.0,0.0
0,1,0,10,28,3232484.456891915,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,10,29,3389179.178252681,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,10,30,3590116.839344945,325919.17553451937,1.0,1.0,-0.0,0.0,0.0
0,1,0,10,31,3559974.360395053,357395.9639090062,1.0,1.0,-0.0,0.0,0.0
0,1,0,10,32,3600000.0,624466.1206713795,1.0,1.0,-0.0,0.0,0.0
0,1,0,10,33,3452049.5142201805,4000000.0,1.0,1.0,-0.0,0.0,0.0
0,1,0,44,44,93862.82523145038,0.0,1.0,-0.0,1.0,1.0,93862.82523145038
0,1,0,44,45,149881.38517031993,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,44,46,253214.36220578555,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,44,47,471942.4439760783,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,44,48,728635.487593897,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,44,49,973116.7868573675,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,44,50,1116688.311414897,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,44,51,1226052.1606351538,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,44,52,1326285.386163868,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,44,53,1406137.3677133603,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,44,54,1540998.7652566945,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,44,55,1714237.1688275891,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,44,56,1971199.229801282,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,44,57,2334347.520926152,0.0,1.0,-0.0,-0.0,0.0,0.0
0,1,0,44,58,2864420.107092218,779524.6036596135,1.0,1.0,-0.0,0.0,0.0
